Algorithm,runtime,eps
CaLiG-RI-KSS,0.0006799999999999999,2368.253968253968
DPiso-DPiso-DPiso,0.0004,3966.666666666667
GQL-RI-LFTJ,0.00078,2119.0476190476193
VEQ-RI-VEQ,0.00142,1225.108225108225
